AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,500508,_. ___________,Samran Rat,5005,_. _________,Doi Saket,50,_. _________,Chiang Mai,18.807,99.095
4,300123,_. _____,Phanao,3001,_. _______________,Mueang Nakhon Ratchasima,30,_. __________,Nakhon Ratchasima,14.986,102.189
4,150412,_. ______,Thang Phra,1504,_. ________,Pho Thong,15,_. _______,Ang Thong,14.677,100.360
4,750101,_. _______,Mae Klong,7501,_. ________________,Mueang Samut Songkhram,75,_. ___________,Samut Songkhram,13.400,99.994
4,191008,_. _______,Phraya Thot,1910,_. ______,Sao Hai,19,_. _______,Saraburi,14.572,100.871
4,220302,_. ______,Yai Ra,2203,_. _______,Tha Mai,22,_. ________,Chanthaburi,12.612,102.027
4,940303,_. ______,Don Rak,9403,_. _______,Nong Chik,94,_. _______,Pattani,6.848,101.220
4,130101,_. _______,Bang Prok,1301,_. _____________,Mueang Pathum Thani,13,_. ________,Pathum Thani,14.012,100.528
4,700702,_. ____________,Don Krabueang,7007,_. _______,Photharam,70,_. _______,Ratchaburi,13.752,99.899
4,900209,_. _________,Wat Chan,9002,_. _______,Sathing Phra,90,_. _____,Songkhla,7.382,100.461
4,500604,_. _____,Cho Lae,5006,_. ______,Mae Taeng,50,_. _________,Chiang Mai,19.144,99.024
4,760121,_. _________,Pho Rai Wan,7601,_. _____________,Mueang Phetchaburi,76,_. ________,Phetchaburi,13.053,99.974
4,700117,_. _______,Lum Din,7001,_. ____________,Mueang Ratchaburi,70,_. _______,Ratchaburi,13.571,99.808
4,150603,_. __________,Phai Dam Patthana,1506,_. ___________,Wiset Chai Chan,15,_. _______,Ang Thong,14.529,100.392
4,760617,_. _______,Tham Rong,7606,_. _______,Ban Lat,76,_. ________,Phetchaburi,13.022,99.911
4,110504,_. _______________,Pak Khlong Bang Pla Kot,1105,_. ______________,Phra Samut Chedi,11,_. ___________,Samut Prakarn,13.606,100.567
4,950605,_. ________,Kota Baru,9506,_. _____,Raman,95,_. ____,Yala,6.452,101.345
4,750203,_. __________,Bang Yi Rong,7502,_. _______,Bang Khonthi,75,_. ___________,Samut Songkhram,13.481,99.912
4,140205,_. _______,Sala Loi,1402,_. _______,Tha Ruea,14,_. _______________,Phra Nakhon Si Ayutthaya,14.532,100.700
4,501902,_. _____,Saraphi,5019,_. _____,Saraphi,50,_. _________,Chiang Mai,18.681,99.047
